sample	circularity
196 plvx sn38	0.56100000000000005
196 plvx sn38	0.45300000000000001
196 plvx sn38	0.61899999999999999
196 plvx sn38	0.22500000000000001
196 plvx sn38	0.245
196 plvx sn38	0.71699999999999997
196 plvx sn38	0.36199999999999999
196 plvx sn38	0.745
196 plvx sn38	0.27300000000000002
196 plvx sn38	0.35299999999999998
196 plvx sn38	0.82699999999999996
196 plvx sn38	0.46300000000000002
196 plvx sn38	0.51700000000000002
196 plvx sn38	0.10299999999999999
196 plvx sn38	0.627
196 plvx sn38	0.309
196 plvx sn38	0.65400000000000003
196 plvx sn38	0.60899999999999999
196 plvx sn38	0.33500000000000002
196 plvx sn38	0.77800000000000001999
196 plvx sn38	0.66100000000000003
196 plvx sn38	0.71899999999999997
196 rad51 nt	0.93200000000000005
